1 0 0
-193 1029 -110
-158 992 -82
-285 1229 -105
-265 1119 -88
-264 1097 -84
-157 1037 -45
-210 986 -57
-182 1064 -44
-257 1135 -63
-284 1200 -65
-202 1019 -39
-247 1078 -48
-307 1000 -65
-222 1101 -28
-243 1097 -26
-124 1070 16
-232 1133 -8
-282 1125 -1
-238 1132 19
-323 1210 12
-300 1069 39
-655 1875 -282
-607 1922 -247
-664 1917 -254
-648 1894 -243
-688 1937 -243
-677 1945 -225
-729 1932 -208
469 835 15
466 796 65
447 939 56
313 959 12
284 879 36
341 900 104
74 970 6
-1 852 25
-39 592 -246
-58 982 -274
-1839 1071 -1698
-1777 1102 -1660
-1815 1096 -1653
-803 1346 887
-815 1174 869
-843 1269 974
628 2320 875
453 2274 870
469 2346 923
452 2304 921
-138 -980 -810
-129 -1064 -946
-148 -998 -894
-180 -995 -913
-97 -998 -974
235 -1152 -1002
254 -1002 -937
190 -1100 -1059
188 -997 -989
208 -1016 -1056
-518 -679 -674
-487 -660 -726
-2235 -6912 -1707
-2315 -6659 -1716
-2261 -6951 -1857
2451 -4829 -725
2465 -4785 -733
2392 -4752 -775
2508 -4750 -796
4385 -2177 -143
4525 -2147 -145
4505 -2118 -165
4613 -2112 -158
4503 -2092 -179
4627 -2076 -183
4583 -2119 -228
4563 -2041 -254
5409 -1614 -492
5360 -1632 -532
4898 -1381 -846
4936 -1341 -917
4955 -1324 -928
4980 -1321 -940
4945 -1309 -937
4399 -4881 -3329
5089 -1329 -978
4309 -4794 -3336
4329 -4743 -3337
4867 -1239 -1019
5292 -1178 -1304
5175 -1147 -1296
5174 -1146 -1313
5119 -1085 -1274
5447 -1160 -1369
5504 -1156 -1381
5117 -1105 -1316
5216 -1132 -1354
5225 -1142 -1371
5409 -1163 -1410
5238 -1120 -1373
5197 -1099 -1359
5282 -1115 -1396
5146 -1141 -1421
5291 -1094 -1475
1864 -1682 -2692
1883 -1701 -2792
1646 -1488 -2754
4742 2566 -2617
4792 2639 -2585
4731 2626 -2592
4768 2662 -2441
4686 2639 -2586
4674 2634 -2343
4929 3425 -2628
5011 3711 -2624
5798 4403 -1885
2950 5115 -3364
2808 5039 -3292
2833 5219 -3385
-2070 1781 -2153
-2196 1898 -2257
-2191 1867 -2222
-2218 1862 -2221
-2190 1826 -2187
-2223 1913 -2245
-2222 1890 -2210
-2214 1873 -2162
-205 6284 -1202
-223 6326 -1186
-237 6149 -1156
-246 6434 -1185
-272 6301 -1165
-151 6363 -1117
-178 6378 -1091
-2110 5459 -1215
-2081 5482 -1174
-3161 1412 -803
-2883 1300 -706
-2928 1285 -704
-3093 1185 -740
-2915 1283 -662
-3120 1374 -693
-3236 1399 -708
-3253 1409 -703
-3206 1387 -683
-3143 1348 -659
-3223 1398 -669
-3255 1386 -667
-3181 1394 -626
-3117 1308 -600
118 6800 950
17 6927 978
-3050 1326 -553
155 6703 1003
143 6847 1037
132 6811 1035
60 6694 1010
-3724 2410 -526
80 6866 1077
96 6792 1098
-3070 1161 -512
-3165 1619 -70
-3093 1719 4
-4016 2439 200
-4018 2346 227
-3928 2324 253
-4102 2431 306
-5637 3601 973
-4784 -515 519
-4720 -651 585
-4582 -653 581
-4747 -747 686
-4040 -1911 834
-3965 -1897 852
-4002 -1956 906
-3493 -3155 3136
-3069 -3503 1684
4052 -2112 3957
2094 -6669 3139
1791 -6694 2777
-5007 -3022 -4988
101 6922 1064
-2199 1899 -2233
4764 2683 -2507
-2234 -6899 -1747
-2202 -6784 -1745
-2223 -6838 -1778
-2307 -7015 -1919
-4022 -1887 905
-4089 -2022 902
-3523 -3173 3128
5324 -1610 -620
-243 6216 -1173
4331 -4799 -3353
-2203 1870 -2228
-2206 1877 -2224
4264 -4837 -3370
-5616 694 -1157
-5750 621 -1150
-5691 776 -856
4485 -2072 -172
5099 -1427 -943
5047 -1316 -907
5014 -1321 -936
4997 -1313 -946
5068 -1317 -958
5101 -1272 -951
4573 -2050 -177
-3764 2340 -544
2863 5156 -3373
4563 -2088 -69
5051 -1316 -914
-4808 -525 454
-4814 -580 547
-4698 -544 613
-4747 -607 583
-4677 -667 523
-4784 -693 547
-4724 -668 572
-4819 -684 595
-4638 -727 520
-4726 -805 506
-4650 -739 585
-4776 -780 635
-4744 -868 683
-4857 -577 590
4254 -3969 1414
4638 -2849 558
4619 -2833 548
4570 -2778 518
4655 -2754 506
4439 -2488 308
4449 -2548 273
4514 -2561 260
4544 -2531 260
4522 -2495 239
3266 -4510 -1263
3298 -4493 -1295
3221 -4439 -1297
3238 -4430 -1346
3851 -4107 -2343
-79 -5744 -3644
1750 2635 -3534
1755 2667 -3523
299 1276 -2411
163 2248 -2100
-836 1615 -1983
2724 5922 -2187
2763 5948 -2153
-4792 1529 -3433
3016 5061 261
-424 7010 -704
-1811 7288 -657
-2393 3376 -262
-2368 3359 -210
-2756 3437 -269
-2812 3445 -218
-1737 6607 1262
-1775 6609 1293
-3662 1837 267
-3624 1834 344
-398 4099 2081
-346 4055 2142
-3072 -2759 4085
-3792 -2762 1487
4596 -2874 4074
4691 -4327 4099
-3646 1791 333
-3743 1843 343
-4784 1501 -3431
-4736 1526 -3401
-2379 -3814 4055
-4696 1490 -3372
-3739 2874 -565
-3087 -2743 4051
-3815 -2767 1508
-2263 3213 -186
4652 -2820 571
2761 -4713 -695
3260 -4415 -1352
-1770 6627 1280
-358 4041 2142
4778 -4306 4108
2429 -938 -486
4761 -1091 -909
1473 -350 -322
-2546 6734 3399
725 -894 339
1787 -555 623
-244 -1796 -94
-1539 -2015 -523
1693 -1253 422
-908 -2098 -406
8 -250 -22
565 -1368 -11
300 -1986 -207
688 -1655 -93
992 -1794 -101
1271 -2080 -214
1166 -2085 -262
1244 -1981 -248
842 -1831 -302
2072 -2040 -184
-258 -2687 -811
607 -1357 -332
455 -304 -38
2285 -1824 -319
841 -1903 -570
572 -1677 -574
1838 -1578 -447
695 -1737 -703
419 -2045 -967
660 -1117 -526
706 -1137 -556
648 -266 -118
1284 -2015 -1122
465 -986 -561
581 -852 -499
761 -1127 -689
516 -1154 -769
512 -1778 -1244
660 -2009 -1453
359 -2236 -1668
939 -1563 -1256
958 -1601 -1325
286 -1119 -922
529 -1526 -1302
442 -821 -754
441 -1225 -1143
257 -1238 -1162
323 -1342 -1307
562 -1351 -1388
310 -910 -971
-163 -509 -505
2194 730 285
1012 236 6
-72 -668 -785
-615 -667 -648
1601 -360 -1176
174 -760 -1253
904 -1106 -2258
921 -1054 -2259
3 -285 -522
-1388 -1534 -2068
-81 -382 -718
663 -847 -2231
2091 941 431
748 -626 -2216
485 -894 -2807
7 -503 -1486
1134 441 -25
124 -518 -1839
527 -399 -2102
-6 -385 -1531
-596 -404 -674
-79 -341 -1544
-47 -428 -2361
-1344 -884 -1769
136 -335 -2703
2474 1036 -718
-104 -211 -1746
-1449 -810 -1785
-285 -217 -1662
-231 -169 -1484
-378 -217 -1764
933 468 -1695
-684 -288 -2435
-363 -128 -1563
-1393 -625 -1392
2095 1063 419
-1272 -486 -1831
2154 1092 489
-1888 -776 -1933
-556 -30 -1969
-527 -53 -1616
-575 -12 -1790
960 888 -1946
214 128 -36
-1666 -494 -1925
1483 955 -355
-1261 -522 -749
1016 1121 -1662
1345 929 -339
-1998 -518 -1893
2007 1569 -799
-453 245 -1253
857 665 -280
-1710 -367 -1579
811 1160 -1306
-1047 514 -2366
-1042 528 -2306
-21 850 -1560
441 1174 -1490
1008 861 -286
1669 1131 43
870 1361 -1158
486 493 -227
-79 787 -1237
1567 1561 -618
234 1531 -1873
880 2103 -1970
883 1865 -1611
1231 799 145
-1277 -462 -621
1425 1580 -638
-198 187 -415
-2113 -210 -1691
-2157 -208 -1722
-291 802 -1218
505 1191 -949
588 2108 -1927
1046 1699 -1019
741 1123 -614
-2172 -279 -1566
-2126 -251 -1550
1443 2027 -928
-2107 -192 -1545
-1215 831 -1842
165 1787 -1639
-845 979 -1617
1962 1394 220
-191 1187 -1235
556 1271 -723
-578 376 -773
-1484 919 -1901
514 1222 -659
78 1021 -803
150 1063 -764
-1652 1026 -2004
-1132 755 -1398
131 2089 -1530
-1177 1021 -1606
-1532 1048 -1865
756 930 -183
264 1667 -1061
-1396 1175 -1814
1375 917 264
686 927 -197
-1429 -157 -828
203 1069 -580
-1291 1090 -1547
165 1065 -582
255 514 -166
245 1136 -546
752 961 -121
-1819 892 -1646
-1782 1205 -1800
-62 1920 -1158
-1719 770 -1469
-1779 614 -1403
1498 1371 124
-1875 617 -1436
-38 2526 -1361
-2021 757 -1561
-99 2454 -1316
1213 1323 16
756 1351 -248
-1910 1092 -1580
-2069 1675 -1935
-863 1610 -1222
21 1095 -488
2127 1878 302
-147 762 -408
1650 2417 -169
-857 1782 -1200
1215 1708 -75
-2155 707 -1376
1458 2540 -241
913 1348 -42
-1945 1116 -1342
-2168 1216 -1479
-1161 1157 -944
1512 2505 -101
-932 1929 -1049
-15 726 -230
1417 2562 -102
-695 1201 -663
-637 2222 -916
-1967 1072 -1181
594 1950 -252
1127 1674 67
1075 1204 172
-3 1326 -319
-1043 1468 -784
852 1070 124
-2406 1353 -1303
679 1168 43
-2169 1190 -1125
784 1102 112
-1358 2421 -982
-615 1295 -464
-545 2814 -679
-680 4156 -918
-627 1418 -459
107 1697 -206
-2254 1292 -1028
-1052 873 -510
-995 1213 -526
-1004 1094 -500
-1749 1794 -824
-2254 1442 -956
955 1207 233
-533 2367 -384
-754 981 -341
-2193 1264 -861
900 1115 238
-542 860 -243
-456 2408 -302
1414 1204 417
-2476 1287 -911
1760 1558 522
-56 825 -49
-1589 654 -546
191 535 48
1359 1194 418
-2298 1329 -745
-2486 1242 -790
-2189 1282 -685
-2378 1176 -734
-1551 2432 -446
-293 754 -75
-926 1760 -223
-2416 1123 -678
1651 2225 578
1693 1559 566
-319 870 -43
-584 2628 -7
-486 807 -84
-676 1509 -85
-703 1464 -86
-2722 1480 -625
6 1051 92
1219 1257 444
-1510 671 -334
-212 551 2
-751 1177 -65
-1257 1750 -122
-2414 1898 -388
-1445 1855 -134
1307 2183 604
-1947 1360 -308
-814 2405 117
-1101 2475 74
-2016 1159 -318
-1641 1938 -105
-843 960 -52
-1998 2086 -138
-2515 1679 -306
-367 98 -68
-2058 1775 -161
-310 2562 392
1090 2219 648
-2192 1789 -154
-1586 487 -258
-1222 2710 252
-2666 1004 -383
-2011 1913 -54
-1617 1761 6
-1227 1281 5
-1361 2629 263
-1736 1824 34
-1892 2014 58
-1652 1599 20
-1791 2110 114
-1877 2224 127
-890 1051 62
1045 1818 630
-16 2372 565
1655 2320 888
-1963 1163 -77
-2779 299 -440
-1807 695 -146
1150 1681 663
-1934 1517 105
728 2281 793
-372 929 217
-1441 1679 286
1196 1834 772
-1851 -206 -340
974 1527 670
-1115 576 55
156 2237 842
881 1470 662
860 1371 626
-2732 645 -93
-196 2447 929
399 2445 1020
330 2545 1062
-1817 1257 329
694 1672 782
-2666 585 -23
793 1599 780
-1483 1977 749
-968 1377 543
-541 2042 910
-2223 1112 359
250 1346 678
-824 1267 576
-1930 1653 718
-1878 -849 -546
1674 1258 752
1012 1584 898
-803 1810 949
-831 1273 660
-2453 -691 -477
-2468 565 234
493 2412 1402
562 2222 1310
-756 1219 702
-1786 1235 738
